RA,Latitude,Longitude,Platform,Operational,RA_Funded,Water_temp,Salinity,Wtr_press,Dew_pt,Rel_hum,Air_temp,Winds,Air_press,Precip,Solar_radn,Visibility,Water_level,Waves,Currents,Turbidity,DO,pCO2_water,pCO2_air,TCO2,pH,OmgArag_st,Chl,Nitrate,CDOM,Alkalinity,Acoustics,Raw_Vars,geometry
CARICOOS,17.869,-66.532,moored_buoy,Y,Yf,,,,,,X,X,X,,,,,X,X,,,,,,,,,,,,,"sea_water_speed (2.5 - 16) m, sea_water_to_direction (2.5 -16) m, eastward_sea_water_velocity (2.5 - 16) m, northward_sea_water_velocity (2.5 - 16) m, sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m)
",POINT (-66.532 17.869)
CARICOOS,18.474,-66.099,moored_buoy,Y,Yf,,,,,,X,X,X,,,,,X,X,,,,,,,,,,,,,"sea_water_speed (2.5 - 29) m, sea_water_to_direction (2.5 -29) m, eastward_sea_water_velocity (2.5 - 29) m, northward_sea_water_velocity (2.5 - 29) m, sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m)
",POINT (-66.099 18.474)
CARICOOS,18.261,-65.464,moored_buoy,Y,Yf,,,,,,X,X,X,,,,,X,X,,,,,,,,,,,,,"sea_water_speed (2.5 - 28 m), sea_water_to_direction  (2.5 - 28 m), eastward_sea_water_velocity  (2.5 - 28 m), northward_sea_water_velocity  (2.5 - 28 m), sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m)
",POINT (-65.464 18.261)
CARICOOS,18.249,-64.763,moored_buoy,Y,Yf,,,,,,X,X,X,,,,,X,X,,,,,,,,,,,,,"sea_water_speed (2.5 - 40 m), sea_water_to_direction  (2.5 - 40 m), eastward_sea_water_velocity (2.5 - 40 m), northward_sea_water_velocity (2.5 - 40 m), sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m)
",POINT (-64.76300000000001 18.249)
CARICOOS,18.4761,-65.1568,moored_buoy,O,Yp,,,,,X,X,X,X,,,,,X,X,X,X,,,,,,X,,,,,"sea_water_speed (2.5 - 22 m), sea_water_to_direction  (2.5 - 22 m), eastward_sea_water_velocity (2.5 - 22 m), northward_sea_water_velocity (2.5 - 22 m), sea_surface_temperature, air_temperature (-3 m), relative_humidity (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m), dissolved_oxygen (1 m), mass_concentration_of_chlorophyll_in_sea_water (1 m), sea_water_turbidity (1 m)
",POINT (-65.1568 18.4761)
CARICOOS,18.376,-67.28,moored_buoy,Y,Yf,,,,,,,,,,,,X,X,,,,,,,,,,,,,,"sea_surface_wave_significant_height, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment, sea_surface_wave_from_direction, sea_surface_wave_zero_upcrossing_period, wave_frequency, sea_surface_wave_variance_spectral_density, sea_surface_wave_from_direction, sea_surface_temperature, platform_orientation, sea_floor_depth_below_sea_surface
",POINT (-67.28 18.376)
CARICOOS,18.05245,-65.82809,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-65.82809 18.05245)
CARICOOS,18.35537,-64.96693,fixed,O,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-64.96693 18.35537)
CARICOOS,18.33737,-65.083,fixed,N,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-65.083 18.33737)
CARICOOS,18.32817,-64.92661,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-64.92661 18.32817)
